input_sentence,output_sentence,vectorial_distance
The cat teaches diligently new technologies when every day because for hours as with great,The cat diligently teaches new technologies every day because for hours like big,0.03323877
The musician writes peacefully through the forest while for hours when around the world without,The musician writes peacefully in the forest while traveling the world for hours without,0.032943964
The scientist builds creatively hidden treasures while in the morning although with friends in the,"The scientist builds hidden treasures creatively in the morning, though with friends in the evening.",0.03250301
The engineer discovers joyfully wonderful stories and with great care because without stopping for hours,The engineer discovers wonderful stories with joy and great care because without stopping for hours,0.014351487
The cat thinks enthusiastically about life while with friends when in the city with great,The cat thinks enthusiastically about life when he is with friends and when he is in the city with great pleasure.,0.050866127
A child builds passionately through the forest although for hours while near the ocean without,"A child builds with passion through the forest, even if he spends hours by the ocean without",0.05279565
The writer explores quickly amazing structures although for hours as near the ocean with great,The writer quickly explores amazing buildings although for hours so close to the ocean with great,0.07387525
A dog runs diligently hidden treasures and with great care when with friends under the,A dog runs diligently for hidden treasures and very carefully when he is with friends below,0.065966845
A dog discovers passionately about life while every day as in the morning in the,A dog discovers life with passion while every day is like the morning,0.052731395
The teacher builds peacefully wonderful stories when in the city when with great care every,The teacher calmly builds wonderful stories when he is in the city and very carefully each one,0.1598118
A dog runs thoughtfully new technologies as with great care when in the city in,"A dog uses new technologies thoughtfully, like very carefully when in the city.",0.12547398
A dog discovers quickly hidden treasures because every day although near the ocean in the,A dog quickly discovers hidden treasures that every day despite being near the ocean,0.008557677
The musician writes diligently through the forest although every day although with great care with,"The musician writes diligently in the forest, indeed every day, but very carefully",0.08238518
The teacher jumps joyfully beautiful art because in the morning because every day around the,The teacher jumps with joy on the beautiful art because in the morning because every day around,0.02657026
The cat teaches enthusiastically important lessons as for hours while in the morning for hours,The cat enthusiastically delivers important lessons for hours while in the morning for hours,0.039142966
The artist jumps energetically in the garden and around the world because in the city,The artist jumps energetically in the garden and around the world because of the city,0.004138887
The musician builds diligently hidden treasures because every day as in the morning under the,The musician builds carefully hidden treasures because every day is like the morning under the,0.02291876
A dog creates enthusiastically in the garden as with friends when in the morning with,A dog creates enthusiastically in the garden as with friends in the morning with,0.0038809776
The writer jumps diligently new technologies and in the morning when in the city in,"The writer religiously jumps on new technologies and in the morning, when he is in the city",0.14448303
A child runs energetically amazing structures when with great care while in the morning under,A child performs amazing structures energetically very carefully in the morning below,0.16843009
The musician discovers enthusiastically wonderful stories while with great care and with friends for hours,The musician enthusiastically discovers wonderful stories with great care and with friends for hours.,0.025322199
The scientist explores carefully amazing structures when without stopping as in the morning for hours,The scientist carefully studies amazing structures without stopping like in the morning for hours,0.05537033
The writer jumps energetically through the forest when in the morning because with great care,The writer jumps vigorously through the forest in the morning because very carefully,0.13156933
The musician creates quickly in the garden when without stopping when without stopping near the,The musician creates quickly in the garden when without stopping when without stopping near,0.0015238523
The musician discovers diligently important lessons while without stopping as near the ocean with great,The musician diligently discovers important lessons while not stopping any closer to the ocean with much,0.038434207
The engineer jumps quickly through the forest although under the stars when with friends without,The engineer jumps quickly through the forest though under the stars when he is with friends without,0.037094474
The cat builds enthusiastically new technologies although every day while with great care under the,"The cat enthusiastically builds new technologies, although every day, with great care and under the supervision of",0.02551949
The musician discovers quickly about life although under the stars when under the stars around,The musician quickly discovers life though under the stars when under the stars around,0.01177007
A child builds creatively in the garden because with great care although around the world,A child builds creatively in the garden because very carefully though all over the world,0.066557646
The musician explores enthusiastically important lessons as near the ocean when near the ocean every,The musician enthusiastically explores important lessons near the ocean as near the ocean anywhere,0.018516183
The scientist thinks diligently about life because every day because under the stars under the,The scientist diligently thinks about life because every day because under the stars under the sun,0.052234173
The teacher creates thoughtfully beautiful art when under the stars and in the city near,The teacher creates works of art of contemplative beauty under the stars and in the nearby city.,0.08149779
My friend runs quickly new technologies when in the morning although with friends for hours,My friend uses new technologies quickly in the morning but with friends for hours,0.10460663
The artist creates diligently sweet music while near the ocean and under the stars near,The artist diligently creates gentle music by the ocean and under the stars nearby,0.0888114
The writer teaches quickly beautiful art as with great care and with friends in the,The writer quickly teaches a beautiful art as with great care and with friends b,0.048407555
My friend runs thoughtfully wonderful stories when under the stars and near the ocean near,My friend tells wonderful and thoughtful stories when he is under the stars and by the ocean.,0.16944093
The teacher discovers thoughtfully through the forest and for hours when without stopping in the,The professor explores thoughtfully through the forest and for hours without stopping in the forest.,0.22064531
The scientist thinks thoughtfully new technologies while every day while in the morning around the,The scientist thinks thoughtfully about new technologies while every morning around,0.024018168
The cat teaches quickly sweet music because with great care as around the world in,The cat quickly learns soft music because very carefully as anywhere in the world,0.13422948
The teacher jumps creatively about life when in the morning while near the ocean around,"The teacher jumps creatively into life in the morning, by the ocean.",0.059782982
The engineer explores diligently hidden treasures and without stopping because in the morning with friends,The engineer diligently investigates hidden treasures and without stopping because in the morning with friends,0.062433958
The writer teaches joyfully amazing structures while with great care while around the world near,The writer happily teaches amazing structures while showing great caution while traveling the world nearby.,0.15683013
The cat teaches peacefully important lessons while for hours when for hours although with great,"The cat calmly teaches important lessons for hours upon hours, but with a lot",0.08664507
The artist jumps energetically wonderful stories when for hours although with great care for hours,"The artist jumps with vigor wonderful stories for hours, albeit very carefully for hours",0.14921045
The writer explores joyfully in the garden as with great care because under the stars,The author happily explores the garden as carefully as under the stars,0.15716827
My friend plays enthusiastically amazing structures when with great care because with great care every,"My friend plays amazing buildings with enthusiasm and with great care, because very carefully each",0.21111476
The scientist explores joyfully about life when around the world while without stopping in the,The scientist happily explores life as he travels the world without stopping,0.16849452
The cat runs passionately in the garden while in the morning because for hours in,The cat ran passionately in the garden in the morning because for hours,0.04368633
The writer explores quickly new technologies as under the stars because with friends under the,The author quickly explores new technologies such as under the stars because with friends under the,0.039995193
A child teaches peacefully important lessons when near the ocean as every day in the,"A child calmly teaches important lessons when he is near the ocean, like every day at sea",0.08515072
The engineer jumps diligently important lessons while in the city because for hours in the,"The engineer strictly skips important classes when he is in the city, because for hours in the city",0.21936285
The teacher discovers enthusiastically important lessons although with friends although in the morning with friends,The teacher enthusiastically reveals important lessons with friends or in the morning with friends,0.073102295
The engineer runs joyfully in the garden and in the city because for hours under,The engineer ran happily in the garden and around the city because for hours below,0.12961519
A child jumps peacefully sweet music when every day while with friends when in the,A child jumps peacefully to soft music every day when he is with friends and when he is at home.,0.08121282
The artist writes creatively wonderful stories and around the world while with friends in the,The artist writes wonderful and creative stories around the world with friends at,0.02776736
The engineer plays quickly in the garden and with great care while for hours under,The engineer plays very quickly and carefully in the garden for hours below,0.08308613
The writer creates thoughtfully important lessons while with friends as without stopping while with great,The author creates thoughtful and important lessons with friends like never stopping with good,0.1701287
The teacher explores peacefully through the forest while with great care while with friends around,The professor calmly explores the forest while driving very carefully in the company of his friends.,0.38561583
